Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Negative Case - Login,Chrome 117.0.0.0,,,2023-10-13 15:35:57,2023-10-13 15:40:25,4m - 28.305s,FAILED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML03 - User cant Login with empty all mandatory field,Chrome 117.0.0.0,,,2023-10-13 15:35:58,2023-10-13 15:37:04,1m - 6.917s,PASSED
openBrowser(base_url),Chrome 117.0.0.0,,,2023-10-13 15:35:59,2023-10-13 15:36:58,59.417s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 117.0.0.0,,,2023-10-13 15:36:58,2023-10-13 15:37:00,1.738s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your username, password, and answer""), STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-13 15:37:00,2023-10-13 15:37:01,0.924s,PASSED
delay(2),Chrome 117.0.0.0,,,2023-10-13 15:37:01,2023-10-13 15:37:03,2.146s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-13 15:37:03,2023-10-13 15:37:04,1.330s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML04 - User cant Login with valid username and empty Password and Your answer,Chrome 117.0.0.0,,,2023-10-13 15:37:05,2023-10-13 15:37:53,48.497s,FAILED
openBrowser(base_url),Chrome 117.0.0.0,,,2023-10-13 15:37:06,2023-10-13 15:37:17,10.877s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), usernameMoLeaWizOutlook)",Chrome 117.0.0.0,,,2023-10-13 15:37:17,2023-10-13 15:37:19,2.659s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 117.0.0.0,,,2023-10-13 15:37:19,2023-10-13 15:37:20,0.736s,PASSED
"verifyElementPresent(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your username and answer""), 0)",Chrome 117.0.0.0,,,2023-10-13 15:37:20,2023-10-13 15:37:53,33.040s,FAILED
,,,,,,,
