Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Negative Case - Forgot Password,Chrome 119.0.0.0,,,2023-11-09 21:12:14,2023-11-09 21:14:14,2m - 0.310s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Forgot Password/Negative Case/TCFP02 - User tidak dapat mengubah kata sandi di Forgot Password dengan mengkosongkan field Username,Chrome 119.0.0.0,,,2023-11-09 21:12:14,2023-11-09 21:12:27,12.871s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-09 21:12:14,2023-11-09 21:12:20,5.758s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:12:20,2023-11-09 21:12:21,0.981s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Username_Forgot_Password""), invalidUsername)",Chrome 119.0.0.0,,,2023-11-09 21:12:21,2023-11-09 21:12:22,1.005s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Request_Verification_Code_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:12:22,2023-11-09 21:12:22,0.380s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - Invalid username Please try again""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:12:22,2023-11-09 21:12:23,0.826s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-09 21:12:23,2023-11-09 21:12:26,3.018s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-09 21:12:26,2023-11-09 21:12:27,0.601s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Forgot Password/Negative Case/TCFP03 - User tidak dapat mengubah kata sandi di Forgot Password dengan invalid Username,Chrome 119.0.0.0,,,2023-11-09 21:12:27,2023-11-09 21:12:43,15.859s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-09 21:12:27,2023-11-09 21:12:37,10.206s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:12:37,2023-11-09 21:12:38,0.695s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Request_Verification_Code_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:12:38,2023-11-09 21:12:38,0.652s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - Invalid username Please try again""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:12:38,2023-11-09 21:12:39,0.496s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-09 21:12:39,2023-11-09 21:12:42,3.002s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-09 21:12:42,2023-11-09 21:12:43,0.591s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Forgot Password/Negative Case/TCFP04 - User tidak dapat mengubah kata sandi di Forgot Password dengan mengkosongkan field Verification Code,Chrome 119.0.0.0,,,2023-11-09 21:12:43,2023-11-09 21:13:03,20.751s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-09 21:12:43,2023-11-09 21:12:54,11.184s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:12:54,2023-11-09 21:12:55,0.685s,PASSED
