Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Negative Case - Login,Chrome 119.0.0.0,,,2023-11-10 10:25:12,2023-11-10 10:27:00,1m - 47.733s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML03 - User cant Login with empty all mandatory field,Chrome 119.0.0.0,,,2023-11-10 10:25:13,2023-11-10 10:25:29,15.879s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-10 10:25:14,2023-11-10 10:25:23,9.908s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-10 10:25:23,2023-11-10 10:25:25,1.260s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your username, password, and answer""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-10 10:25:25,2023-11-10 10:25:25,0.592s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-10 10:25:25,2023-11-10 10:25:27,2.050s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-10 10:25:27,2023-11-10 10:25:29,1.239s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML04 - User cant Login with valid username and empty Password and Your answer,Chrome 119.0.0.0,,,2023-11-10 10:25:29,2023-11-10 10:25:42,13.045s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-10 10:25:29,2023-11-10 10:25:35,6.338s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), usernameMoLeaWiz)",Chrome 119.0.0.0,,,2023-11-10 10:25:35,2023-11-10 10:25:37,1.895s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-10 10:25:37,2023-11-10 10:25:38,0.584s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your password and answer""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-10 10:25:38,2023-11-10 10:25:39,0.551s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-10 10:25:39,2023-11-10 10:25:41,2.009s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-10 10:25:41,2023-11-10 10:25:42,1.101s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML05 - User cant Login with invalid username and password,Chrome 119.0.0.0,,,2023-11-10 10:25:42,2023-11-10 10:26:00,18.211s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-10 10:25:42,2023-11-10 10:25:50,7.436s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), invalidUsername)",Chrome 119.0.0.0,,,2023-11-10 10:25:50,2023-11-10 10:25:51,1.591s,PASSED
"setText(findTestObject(""Object Login/input_Password_Login""), invalidPassword)",Chrome 119.0.0.0,,,2023-11-10 10:25:51,2023-11-10 10:25:52,0.881s,PASSED
"comment(""function captcha your answer"")",Chrome 119.0.0.0,,,2023-11-10 10:25:52,2023-11-10 10:25:52,0.017s,PASSED
keywordFunctionLogin.FunctionLogin.automationCaptcha(),Chrome 119.0.0.0,,,2023-11-10 10:25:52,2023-11-10 10:25:53,1.402s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-10 10:25:53,2023-11-10 10:25:54,0.604s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Invalid login credentials Please try again""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-10 10:25:54,2023-11-10 10:25:56,1.714s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-10 10:25:56,2023-11-10 10:25:59,3.016s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-10 10:25:59,2023-11-10 10:26:00,1.048s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML06 - User Login with empty username and empty Password,Chrome 119.0.0.0,,,2023-11-10 10:26:00,2023-11-10 10:26:14,13.935s,PASSED
