Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Positive Case - Login,Chrome 119.0.0.0,,,2023-11-14 17:06:56,2023-11-14 17:07:30,33.770s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Positive Case/TCML01 - User Login dengan valid data dengan mengklik toggle Remember Me,Chrome 119.0.0.0,,,2023-11-14 17:06:56,2023-11-14 17:07:12,16.001s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-14 17:06:56,2023-11-14 17:06:59,2.857s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), ""testerdigima@digimasia.com"")",Chrome 119.0.0.0,,,2023-11-14 17:06:59,2023-11-14 17:07:00,1.126s,PASSED
"setText(findTestObject(""Object Login/input_Password_Login""), ""12345"")",Chrome 119.0.0.0,,,2023-11-14 17:07:00,2023-11-14 17:07:01,0.685s,PASSED
"comment(""function captcha your answer"")",Chrome 119.0.0.0,,,2023-11-14 17:07:01,2023-11-14 17:07:01,0.019s,PASSED
keywordFunctionLogin.FunctionLogin.automationCaptcha(),Chrome 119.0.0.0,,,2023-11-14 17:07:01,2023-11-14 17:07:02,1.087s,PASSED
"click(findTestObject(""Object Login/checkbox_Remember_Me_Login""))",Chrome 119.0.0.0,,,2023-11-14 17:07:02,2023-11-14 17:07:03,0.573s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-14 17:07:03,2023-11-14 17:07:03,0.563s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-14 17:07:03,2023-11-14 17:07:06,3.010s,PASSED
"click(findTestObject(""Object Login/dropdown_User_Profile""))",Chrome 119.0.0.0,,,2023-11-14 17:07:06,2023-11-14 17:07:07,0.994s,PASSED
"click(findTestObject(""Object Home/btn_logout_User_Profile""))",Chrome 119.0.0.0,,,2023-11-14 17:07:07,2023-11-14 17:07:08,0.608s,PASSED
"click(findTestObject(""Object Home/btn_Yes_Logout_Home""))",Chrome 119.0.0.0,,,2023-11-14 17:07:08,2023-11-14 17:07:08,0.566s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-14 17:07:08,2023-11-14 17:07:11,3.001s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-14 17:07:11,2023-11-14 17:07:12,0.613s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Positive Case/TCML02 - User Login dengan valid data dengan tidak mengklik toggle Remember Me,Chrome 119.0.0.0,,,2023-11-14 17:07:12,2023-11-14 17:07:30,17.547s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-14 17:07:12,2023-11-14 17:07:14,1.932s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), ""testerdigima@digimasia.com"")",Chrome 119.0.0.0,,,2023-11-14 17:07:14,2023-11-14 17:07:15,1.106s,PASSED
"setText(findTestObject(""Object Login/input_Password_Login""), ""12345"")",Chrome 119.0.0.0,,,2023-11-14 17:07:15,2023-11-14 17:07:16,0.674s,PASSED
"comment(""function captcha your answer"")",Chrome 119.0.0.0,,,2023-11-14 17:07:16,2023-11-14 17:07:16,0.002s,PASSED
keywordFunctionLogin.FunctionLogin.automationCaptcha(),Chrome 119.0.0.0,,,2023-11-14 17:07:16,2023-11-14 17:07:17,1.117s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-14 17:07:17,2023-11-14 17:07:18,0.550s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Successfully_Login""))",Chrome 119.0.0.0,,,2023-11-14 17:07:18,2023-11-14 17:07:21,3.816s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-14 17:07:21,2023-11-14 17:07:24,3.003s,PASSED
"click(findTestObject(""Object Login/dropdown_User_Profile""))",Chrome 119.0.0.0,,,2023-11-14 17:07:24,2023-11-14 17:07:25,0.356s,PASSED
"click(findTestObject(""Object Home/btn_logout_User_Profile""))",Chrome 119.0.0.0,,,2023-11-14 17:07:25,2023-11-14 17:07:25,0.605s,PASSED
"click(findTestObject(""Object Home/btn_Yes_Logout_Home""))",Chrome 119.0.0.0,,,2023-11-14 17:07:25,2023-11-14 17:07:26,0.563s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-14 17:07:26,2023-11-14 17:07:29,3.002s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-14 17:07:29,2023-11-14 17:07:30,0.604s,PASSED
