Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Positive Case User Profile,Chrome 120.0.0.0,,,2024-01-12 10:08:49,2024-01-12 10:09:54,1m - 4.526s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/User Profile/Positive Case/TCMUP01 - User bisa membuka halaman User Profile,Chrome 120.0.0.0,,,2024-01-12 10:08:50,2024-01-12 10:08:57,7.563s,PASSED
"click(findTestObject(""Object Menu/btn_Home_Menu""))",Chrome 120.0.0.0,,,2024-01-12 10:08:50,2024-01-12 10:08:53,2.335s,PASSED
"click(findTestObject(""Object Login/dropdown_User_Profile""))",Chrome 120.0.0.0,,,2024-01-12 10:08:53,2024-01-12 10:08:53,0.796s,PASSED
"click(findTestObject(""Object User Profile/btn_Profile_User_Profile""))",Chrome 120.0.0.0,,,2024-01-12 10:08:53,2024-01-12 10:08:54,0.698s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:08:54,2024-01-12 10:08:56,2.072s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Role""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:08:56,2024-01-12 10:08:57,0.420s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Username""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:08:57,2024-01-12 10:08:57,0.361s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Registration Date""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:08:57,2024-01-12 10:08:57,0.384s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/User Profile/Positive Case/TCMUP02 - User bisa membuka tab Certificate dan bisa membuka sertifikat pada halam User Profile,Chrome 120.0.0.0,,,2024-01-12 10:08:57,2024-01-12 10:09:05,7.828s,PASSED
"click(findTestObject(""Object Menu/btn_Home_Menu""))",Chrome 120.0.0.0,,,2024-01-12 10:08:58,2024-01-12 10:08:58,0.581s,PASSED
"click(findTestObject(""Object Login/dropdown_User_Profile""))",Chrome 120.0.0.0,,,2024-01-12 10:08:58,2024-01-12 10:08:59,0.922s,PASSED
"click(findTestObject(""Object User Profile/btn_Profile_User_Profile""))",Chrome 120.0.0.0,,,2024-01-12 10:08:59,2024-01-12 10:09:00,0.701s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:00,2024-01-12 10:09:02,2.032s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Role""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:02,2024-01-12 10:09:02,0.349s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Username""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:02,2024-01-12 10:09:03,0.372s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Registration Date""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:03,2024-01-12 10:09:03,0.385s,PASSED
"click(findTestObject(""Object User Profile/tab_certificates_user_profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:03,2024-01-12 10:09:04,0.442s,PASSED
"click(findTestObject(""Object User Profile/btn_view_certificates_user_profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:04,2024-01-12 10:09:04,0.479s,PASSED
"click(findTestObject(""Object User Profile/btn_download_certificates_user_profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:04,2024-01-12 10:09:05,1.103s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/User Profile/Positive Case/TCMUP03 - User bisa membuka tab Badges pada halam User Profile,Chrome 120.0.0.0,,,2024-01-12 10:09:05,2024-01-12 10:09:25,20.213s,PASSED
