Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Postive Case - Help,Chrome 122.0.0.0,,,2024-02-23 14:41:08,2024-02-23 14:44:00,2m - 51.885s,FAILED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC01 - User bisa membuka halaman Help,Chrome 122.0.0.0,,,2024-02-23 14:41:09,2024-02-23 14:41:19,10.366s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:41:10,2024-02-23 14:41:14,4.392s,PASSED
"verifyElementPresent(findTestObject(""Object Menu/verify_Successfully_Open_Help_Menu""), 0)",Chrome 122.0.0.0,,,2024-02-23 14:41:14,2024-02-23 14:41:19,5.004s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC02 - User bisa membuka list Help FAQ pada halaman Help dam membuka beberapa list collapse help FAQ,Chrome 122.0.0.0,,,2024-02-23 14:41:19,2024-02-23 14:41:24,4.736s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:41:20,2024-02-23 14:41:21,0.670s,PASSED
"click(findTestObject(""Object Help/list_faq_help""))",Chrome 122.0.0.0,,,2024-02-23 14:41:21,2024-02-23 14:41:21,0.558s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-23 14:41:21,2024-02-23 14:41:22,0.526s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-23 14:41:22,2024-02-23 14:41:23,0.969s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-23 14:41:23,2024-02-23 14:41:24,0.849s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC03 - User bisa membuka list Help Login pada halaman Help dam membuka beberapa list collapse help Login,Chrome 122.0.0.0,,,2024-02-23 14:41:24,2024-02-23 14:41:27,3.683s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:41:25,2024-02-23 14:41:25,0.495s,PASSED
"click(findTestObject(""Object Help/list_login_help""))",Chrome 122.0.0.0,,,2024-02-23 14:41:25,2024-02-23 14:41:26,0.845s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-23 14:41:26,2024-02-23 14:41:27,0.583s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-23 14:41:27,2024-02-23 14:41:27,0.728s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC04 - User bisa membuka list Help Profile dan Contact pada halaman Help dam membuka beberapa list collapse help Profile dan Contact,Chrome 122.0.0.0,,,2024-02-23 14:41:27,2024-02-23 14:42:01,33.218s,FAILED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:41:28,2024-02-23 14:41:29,0.544s,PASSED
"click(findTestObject(""Object Help/list_profile_contact_help""))",Chrome 122.0.0.0,,,2024-02-23 14:41:29,2024-02-23 14:42:01,31.736s,FAILED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC05 - User bisa membuka list Help My Learning Journey pada halaman Help dam membuka beberapa list collapse help My Learning Journey,Chrome 122.0.0.0,,,2024-02-23 14:42:01,2024-02-23 14:42:05,4.049s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:42:02,2024-02-23 14:42:02,0.575s,PASSED
"click(findTestObject(""Object Help/list_my_learning_journey_help""))",Chrome 122.0.0.0,,,2024-02-23 14:42:02,2024-02-23 14:42:03,0.864s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-23 14:42:03,2024-02-23 14:42:04,1.060s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-23 14:42:04,2024-02-23 14:42:05,0.757s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC06 - User bisa membuka list Help Learning Activity pada halaman Help dam membuka beberapa list collapse help Learning Activity,Chrome 122.0.0.0,,,2024-02-23 14:42:05,2024-02-23 14:42:09,3.803s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:42:06,2024-02-23 14:42:06,0.590s,PASSED
"click(findTestObject(""Object Help/list_learning_activity_help""))",Chrome 122.0.0.0,,,2024-02-23 14:42:06,2024-02-23 14:42:07,0.880s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-23 14:42:07,2024-02-23 14:42:08,0.613s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-23 14:42:08,2024-02-23 14:42:09,0.776s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC07 - User bisa membuka list Help Learning Point pada halaman Help dam membuka beberapa list collapse help Learning Point,Chrome 122.0.0.0,,,2024-02-23 14:42:09,2024-02-23 14:42:12,3.694s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:42:10,2024-02-23 14:42:10,0.567s,PASSED
"click(findTestObject(""Object Help/list_learning_point_help""))",Chrome 122.0.0.0,,,2024-02-23 14:42:10,2024-02-23 14:42:11,0.844s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-23 14:42:11,2024-02-23 14:42:12,0.589s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-23 14:42:12,2024-02-23 14:42:12,0.678s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC08 - User bisa membuka list Help Supervisor dan Reviewer pada halaman Help dam membuka beberapa list collapse help Supervisor dan Reviewer,Chrome 122.0.0.0,,,2024-02-23 14:42:12,2024-02-23 14:42:45,33.127s,FAILED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:42:13,2024-02-23 14:42:14,0.503s,PASSED
"click(findTestObject(""Object Help/list_supervisor_reviewer_help""))",Chrome 122.0.0.0,,,2024-02-23 14:42:14,2024-02-23 14:42:45,31.610s,FAILED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC09 - User bisa membuka list Help Account Data dan Security pada halaman Help dam membuka beberapa list collapse help Account Data dan Security,Chrome 122.0.0.0,,,2024-02-23 14:42:45,2024-02-23 14:43:18,32.599s,FAILED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:42:46,2024-02-23 14:42:47,0.474s,PASSED
"click(findTestObject(""Object Help/list_supervisor_reviewer_help""))",Chrome 122.0.0.0,,,2024-02-23 14:42:47,2024-02-23 14:43:18,31.477s,FAILED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC10 - User bisa membuka list Help Other pada halaman Help dam membuka beberapa list collapse help Other,Chrome 122.0.0.0,,,2024-02-23 14:43:18,2024-02-23 14:43:52,33.948s,FAILED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:43:19,2024-02-23 14:43:19,0.631s,PASSED
"click(findTestObject(""Object Help/list_other_help""))",Chrome 122.0.0.0,,,2024-02-23 14:43:19,2024-02-23 14:43:52,32.597s,FAILED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC11 - User bisa membuka halaman Email MoLeaWiz,Chrome 122.0.0.0,,,2024-02-23 14:43:52,2024-02-23 14:44:00,7.723s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-23 14:43:53,2024-02-23 14:43:54,0.683s,PASSED
"click(findTestObject(""Object Help/link_help_moleawiz""))",Chrome 122.0.0.0,,,2024-02-23 14:43:54,2024-02-23 14:43:56,2.116s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-23 14:43:56,2024-02-23 14:43:58,1.771s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-23 14:43:58,2024-02-23 14:44:00,1.972s,PASSED
